code,ident,name,type,length_ft,width_ft,surface,le_elevation_ft
BR,CMT,New Cametá Airport,small_airport,4000,100,ASPH,64
BR,JJD,Comandante Ariston Pessoa Airport,medium_airport,7218,148,ASPH,86
BR,SBAQ,Araraquara Airport,medium_airport,5907,99,ASPH,2275
BR,SBAR,Aracaju - Santa Maria International Airport,medium_airport,7218,148,ASPH,22
BR,SBBE,Val de Cans/Júlio Cezar Ribeiro International Airport,large_airport,9186,148,ASPH,44
BR,SBBG,Comandante Gustavo Kraemer Airport,medium_airport,4921,98,CON,588
BR,SBBI,Bacacheri Airport,medium_airport,4560,98,ASPH,3057
BR,SBBP,Estadual Arthur Siqueira Airport,small_airport,3997,98,ASPH,2930
BR,SBBR,Presidente Juscelino Kubitschek International Airport,large_airport,10827,148,ASPH,3497
BR,SBBU,Bauru Airport,small_airport,4921,115,ASPH,2003
BR,SBCA,Coronel Adalberto Mendes da Silva Airport,medium_airport,5810,148,ASPH,2478
BR,SBCF,Tancredo Neves International Airport,large_airport,11811,148,ASPH,2712
BR,SBCG,Campo Grande Airport,medium_airport,8530,148,CON,1818
BR,SBCP,Bartolomeu Lisandro Airport,medium_airport,5066,148,ASPH,57
BR,SBCR,Corumbá International Airport,medium_airport,4921,148,ASPH,448
BR,SBCT,Afonso Pena Airport,medium_airport,7277,148,ASPH,2987
BR,SBCX,Hugo Cantergiani Regional Airport,medium_airport,5479,98,ASPH,2472
BR,SBCY,Marechal Rondon Airport,medium_airport,7546,148,ASPH,617
BR,SBDN,Presidente Prudente Airport,medium_airport,6923,115,ASPH,1412
BR,SBEG,Eduardo Gomes International Airport,large_airport,8858,148,ASPH,252
BR,SBFI,Cataratas International Airport,medium_airport,7201,148,ASPH,764
BR,SBFL,Hercílio Luz International Airport,large_airport,7546,148,ASPH,17
BR,SBFZ,Pinto Martins International Airport,large_airport,9039,148,ASPH,82
BR,SBGL,Rio Galeão – Tom Jobim International Airport,large_airport,13123,148,CON,16
BR,SBGO,Santa Genoveva Airport,medium_airport,7500,148,ASPH,2440
BR,SBGP,EMBRAER - Unidade Gavião Peixoto Airport,small_airport,9843,148,ASPH,1986
BR,SBGR,Guarulhos - Governador André Franco Montoro International Airport,large_airport,9843,148,ASPH,2450
BR,SBGV,Coronel Altino Machado Airport,medium_airport,5581,98,ASPH,562
BR,SBIH,Itaituba Airport,medium_airport,5577,98,ASPH,110
BR,SBJA,Humberto Ghizzo Bortoluzzi Regional Airport,small_airport,8199,98,ASPH,110
BR,SBJD,Comte. Rolim Adolfo Amaro–Jundiaí State Airport,small_airport,4593,98,ASPH,2425
BR,SBJR,Jacarepaguá - Roberto Marinho Airport,small_airport,2952,98,ASPH,10
BR,SBKP,Viracopos International Airport,medium_airport,10630,148,ASPH,2139
BR,SBLO,Governador José Richa Airport,medium_airport,6890,148,ASPH,1866
BR,SBMG,Regional de Maringá - Sílvio Name Júnior Airport,medium_airport,7808,148,ASPH,1766
BR,SBMO,Zumbi dos Palmares Airport,medium_airport,8537,148,ASPH,387
BR,SBMT,Campo de Marte Airport,medium_airport,5249,147,ASPH,2379
BR,SBNF,Ministro Victor Konder International Airport,medium_airport,5906,148,ASPH,17
BR,SBNM,Santo Ângelo Airport,medium_airport,5331,98,ASPH,1031
BR,SBNT,Natal Air Force Base,medium_airport,5987,148,ASPH,166
BR,SBPA,Salgado Filho International Airport,medium_airport,10499,148,ASPH,11
BR,SBPF,Lauro Kurtz Airport,medium_airport,5512,98,ASPH,2363
BR,SBPJ,Brigadeiro Lysias Rodrigues Airport,medium_airport,8202,148,ASPH,747
BR,SBPS,Porto Seguro Airport,large_airport,6562,148,ASPH,169
BR,SBRF,Recife/Guararapes - Gilberto Freyre International Airport,medium_airport,9865,148,ASPH,23
BR,SBRP,Leite Lopes Airport,medium_airport,6890,148,ASPH,1802
BR,SBSG,São Gonçalo do Amarante - Governador Aluízio Alves International Airport,medium_airport,9843,197,ASPH,273
BR,SBSJ,Professor Urbano Ernesto Stumpf Airport,medium_airport,8780,148,ASPH,2031
BR,SBSL,Marechal Cunha Machado International Airport,medium_airport,7828,148,ASPH,178
BR,SBSP,Congonhas Airport,medium_airport,6365,148,ASPH,2615
BR,SBSR,Prof. Eribelto Manoel Reino State Airport,medium_airport,5381,115,ASPH,1743
BR,SBSV,Deputado Luiz Eduardo Magalhães International Airport,large_airport,9859,148,ASPH,30
BR,SBTA,Base de Aviação de Taubaté,medium_airport,6170,98,ASPH,1908
BR,SBTS,Tiriós Airport,medium_airport,6562,115,ASPH,1118
BR,SBUY,Urucu Airport,small_airport,4331,98,ASPH,208
BR,SBVT,Eurico de Aguiar Salles Airport,large_airport,5742,148,ASPH,13
BR,SDAM,Estadual de Campos dos Amarais - Prefeito Francisco Amaral Airport,small_airport,3937,98,ASPH,2008
BR,SDCO,Sorocaba Airport,small_airport,5348,98,ASPH,2082
BR,SDMC,Maricá Airport,small_airport,3917,98,ASPH,14
BR,SDRK,Rio Claro Airport,small_airport,69,69,GRS,1992
BR,SILQ,Aeroleve Aeródromo Privado Airport,small_airport,2116,66,ASPH,2262
BR,SIQW,Fazenda Santa Maria do Jauru Airport,small_airport,3937,75,GVL,680
BR,SJLA,Flechal Airport,small_airport,1903,40,Earth,2060
BR,SJLC,Hakoma Airport,small_airport,1969,66,Earth,2346
BR,SJTC,Bauru/Arealva–Moussa Nakhal Tobias State Airport,medium_airport,6594,148,ASPH,1927
BR,SNAV,Agrovale Airport,small_airport,3281,59,ASPH,1311
BR,SNCP,Planalto Serrano Regional Airport,medium_airport,5912,98,ASPH,2868
BR,SNDV,Brigadeiro Cabral Airport,small_airport,5052,98,ASPH,2608
BR,SNFD,Fazenda Santo Antônio Airport,small_airport,5650,98,GRE,1798
